,mmsi,lon,lat,speed,course,heading,type,timestamp
0,110000000,114.33539666666668,30.613261666666663,0.0,348.40000000000003,511,18,1664436467190
1,120000000,114.35322666666669,30.604926666666668,0.0,214.6,511,1,1664436364649
2,160000000,114.40625333333334,30.659006666666667,5.9,69.60000000000001,511,18,1664436402379
3,170000000,114.30492166666669,30.58762833333333,3.7,214.1,511,18,1664436461075
4,190000000,114.32166666666669,30.6149,0.0,80.60000000000001,511,18,1664436392620
5,200000000,114.33081666666666,30.61580333333333,8.3,226.3,511,18,1664436460399
6,210000000,114.34149333333332,30.62531333333333,2.7,226.1,511,18,1664436461457
7,220000000,114.32132666666666,30.615186666666663,0.0,360.0,511,3,1664436443061
8,230000000,114.28553333333332,30.55998333333333,4.0,209.1,511,18,1664436454514
9,240000000,114.32265333333334,30.614136666666667,0.0,95.7,511,18,1664436454944
10,280000000,114.41108666666666,30.662781666666667,3.9,250.8,511,18,1664436434106
11,300000000,114.31608,30.59074333333333,0.0,0.0,511,18,1664436266923
12,330000000,114.31922666666668,30.614753333333333,0.0,0.0,480,18,1664436467095
13,340000000,114.30740666666668,30.58669833333333,5.300000000000001,29.200000000000003,29,18,1664436436614
14,370000000,114.31774666666666,30.613086666666668,0.0,70.3,70,18,1664436331512
15,380000000,114.32036,30.60196333333333,1.6,225.4,511,18,1664436449949
16,400000000,114.30978666666668,30.594266666666663,4.5,212.9,511,18,1664436438801
17,410000000,114.44798666666668,30.670085,0.1,341.40000000000003,341,18,1664436257125
18,420000000,114.31582,30.601751666666665,4.9,215.8,511,18,1664436463711
19,430000000,114.32089833333332,30.617121666666662,0.0,143.0,511,1,1664436458699
20,480000000,114.31746,30.601126666666666,5.6000000000000005,33.4,33,18,1664436462696
21,490000000,114.32082333333334,30.61710833333333,0.0,57.900000000000006,511,1,1664436440569
22,520000000,114.338435,30.62116333333333,5.800000000000001,48.0,48,18,1664436452280
23,550000000,114.3529,30.63393333333333,3.2,229.5,511,18,1664436415072
24,560000000,114.319895,30.61273333333333,0.0,360.0,511,3,1664436450646
25,580000000,114.39725833333334,30.6577,4.7,243.7,243,1,1664436328613
26,600000000,114.35261,30.630991666666667,6.300000000000001,51.900000000000006,51,18,1664436449949
27,610000000,114.31969,30.611755,0.0,16.3,16,18,1664436267700
28,630000000,114.29888,30.57838,5.4,212.3,511,18,1664436458699
29,640000000,114.27708333333334,30.543795,4.5,205.2,511,18,1664436467886
30,650000000,114.40535833333334,30.66072,5.9,247.9,247,18,1664436405061
31,680000000,114.41374333333331,30.65891166666667,0.0,171.5,511,18,1664436016857
32,690000000,114.322385,30.602415,0.3,50.2,511,18,1664436453039
33,700000000,114.38162166666666,30.64865333333333,6.300000000000001,59.7,59,18,1664436416277
34,710000000,114.33844166666668,30.622785,3.7,225.7,511,18,1664436460712
35,740000000,114.28993333333334,30.57108333333333,0.0,0.0,12,1,1664436441360
36,760000000,114.31996666666667,30.611885,0.0,115.7,0,18,1664436465681
37,770000000,114.276065,30.541481666666662,3.9,201.7,0,18,1664435900561
38,780000000,114.320375,30.61156833333333,0.0,360.0,511,3,1664436420964
39,800000000,114.27768333333331,30.544861666666662,4.800000000000001,206.4,0,18,1664436180381
40,810000000,114.40047333333334,30.656856666666663,6.300000000000001,66.4,66,18,1664436462211
41,840000000,114.297615,30.581901666666667,0.0,166.4,511,18,1664436462058
42,850000000,114.33201333333334,30.617663333333333,3.8,223.3,511,18,1664436458450
43,860000000,114.28148,30.55321333333333,4.5,203.4,511,18,1664436272353
44,900000000,114.31894833333334,30.61387333333333,0.0,0.0,511,18,1664436441360
45,910000000,114.31560333333331,30.59012333333333,0.1,92.1,511,18,1664436447096
46,930000000,114.31637333333332,30.59115333333333,0.0,0.0,511,18,1664436431085
47,940000000,114.31654666666668,30.591046666666667,0.0,0.0,511,18,1664436333175
48,950000000,114.30773333333332,30.597646666666662,0.0,0.0,1,18,1664436318255
49,960000000,114.30789666666666,30.59764333333333,0.0,305.40000000000003,305,18,1664436457646
50,990000000,114.36874166666666,30.644195,4.0,230.6,511,19,1664436446067
51,1010000000,114.41508333333331,30.659316666666665,0.0,132.6,132,1,1664436457783
52,1020000000,114.41241666666669,30.66067,6.4,360.0,511,3,1664436451552
53,1030000000,114.34988333333334,30.63125,3.4,232.1,232,1,1664436451820
54,1040000000,114.316745,30.593426666666662,0.0,110.4,110,19,1664436346286
55,1050000000,114.353105,30.604903333333333,0.0,215.4,511,1,1664436455273
56,1060000000,114.31967666666668,30.60022,0.0,17.0,511,18,1664436464074
57,1070000000,114.32104166666667,30.601765,0.0,207.0,511,18,1664436450252
58,1090000000,114.31984833333334,30.601165,1.1,31.0,511,1,1664436453528
